generador;hora;vertimiento_mw
SOLAR-NORTE-01;369;778.1935483870968
SOLAR-NORTE-01;370;1177.516129032258
SOLAR-NORTE-01;371;1298.2903225806451
SOLAR-NORTE-01;372;1384.0
SOLAR-NORTE-01;373;1437.1290322580646
SOLAR-NORTE-01;374;1435.774193548387
SOLAR-NORTE-01;375;1411.1612903225807
SOLAR-NORTE-01;376;1430.3870967741937
SOLAR-NORTE-01;377;1409.0967741935483
SOLAR-NORTE-01;378;1372.3225806451612
SOLAR-NORTE-01;379;1216.0
SOLAR-NORTE-01;380;673.9354838709678
SOLAR-NORTE-01;381;13.612903225806456
SOLAR-NORTE-01;392;117.16129032258064
SOLAR-NORTE-01;393;778.1935483870968
SOLAR-NORTE-01;394;1177.516129032258
SOLAR-NORTE-01;395;1298.2903225806451
SOLAR-NORTE-01;396;1384.0
SOLAR-NORTE-01;397;1437.1290322580646
SOLAR-NORTE-01;398;1435.774193548387
SOLAR-NORTE-01;399;1411.1612903225807
SOLAR-NORTE-01;400;1430.3870967741937
SOLAR-NORTE-01;401;1409.0967741935483
SOLAR-NORTE-01;402;1372.3225806451612
SOLAR-NORTE-01;403;1216.0
SOLAR-NORTE-01;404;673.9354838709678
SOLAR-NORTE-01;405;13.612903225806456
SOLAR-NORTE-01;416;117.16129032258064
SOLAR-NORTE-01;417;778.1935483870968
SOLAR-NORTE-01;418;1177.516129032258
SOLAR-NORTE-01;419;1298.2903225806451
SOLAR-NORTE-01;420;1384.0
SOLAR-NORTE-01;421;1437.1290322580646
SOLAR-NORTE-01;422;1435.774193548387
SOLAR-NORTE-01;423;1411.1612903225807
SOLAR-NORTE-01;424;1430.3870967741937
SOLAR-NORTE-01;425;1409.0967741935483
SOLAR-NORTE-01;426;1372.3225806451612
SOLAR-NORTE-01;427;1216.0
SOLAR-NORTE-01;428;673.9354838709678
SOLAR-NORTE-01;429;13.612903225806456
SOLAR-NORTE-01;440;117.16129032258064
SOLAR-NORTE-01;441;778.1935483870968
SOLAR-NORTE-01;442;1177.516129032258
SOLAR-NORTE-01;443;1298.2903225806451
SOLAR-NORTE-01;444;1384.0
SOLAR-NORTE-01;445;1437.1290322580646
SOLAR-NORTE-01;446;1435.774193548387
SOLAR-NORTE-01;447;1411.1612903225807
SOLAR-NORTE-01;448;1430.3870967741937
SOLAR-NORTE-01;449;1409.0967741935483
SOLAR-NORTE-01;450;1372.3225806451612
SOLAR-NORTE-01;451;1216.0
SOLAR-NORTE-01;452;673.9354838709678
SOLAR-NORTE-01;453;13.612903225806456
SOLAR-NORTE-01;464;117.16129032258064
SOLAR-NORTE-01;465;778.1935483870968
SOLAR-NORTE-01;466;1177.516129032258
SOLAR-NORTE-01;467;1298.2903225806451
SOLAR-NORTE-01;468;1384.0
SOLAR-NORTE-01;469;1437.1290322580646
SOLAR-NORTE-01;470;1435.774193548387
SOLAR-NORTE-01;471;1411.1612903225807
SOLAR-NORTE-01;472;1430.3870967741937
SOLAR-NORTE-01;473;1409.0967741935483
SOLAR-NORTE-01;474;1372.3225806451612
SOLAR-NORTE-01;475;1216.0
SOLAR-NORTE-01;476;673.9354838709678
SOLAR-NORTE-01;488;117.16129032258064
SOLAR-NORTE-01;489;778.1935483870968
SOLAR-NORTE-01;490;1177.516129032258
SOLAR-NORTE-01;491;1298.2903225806451
SOLAR-NORTE-01;492;1384.0
SOLAR-NORTE-01;493;1437.1290322580646
SOLAR-NORTE-01;494;1435.774193548387
SOLAR-NORTE-01;495;1411.1612903225807
SOLAR-NORTE-01;496;1430.3870967741937
SOLAR-NORTE-01;497;1409.0967741935483
SOLAR-NORTE-01;498;1372.3225806451612
SOLAR-NORTE-01;499;1216.0
SOLAR-NORTE-01;500;673.9354838709678
SOLAR-NORTE-01;501;13.612903225806456
SOLAR-NORTE-01;512;117.16129032258064
SOLAR-NORTE-01;513;778.1935483870968
SOLAR-NORTE-01;514;1177.516129032258
SOLAR-NORTE-01;515;1298.2903225806451
SOLAR-NORTE-01;516;1384.0
SOLAR-NORTE-01;517;1437.1290322580646
SOLAR-NORTE-01;518;1435.774193548387
SOLAR-NORTE-01;519;1411.1612903225807
SOLAR-NORTE-01;520;1430.3870967741937
SOLAR-NORTE-01;521;1409.0967741935483
SOLAR-NORTE-01;522;1372.3225806451612
SOLAR-NORTE-01;523;1216.0
SOLAR-NORTE-01;524;673.9354838709678
SOLAR-NORTE-01;536;117.16129032258064
SOLAR-NORTE-01;537;778.1935483870968
SOLAR-NORTE-01;538;1177.516129032258
SOLAR-NORTE-01;539;1298.2903225806451
SOLAR-NORTE-01;540;1384.0
SOLAR-NORTE-01;541;1437.1290322580646
SOLAR-NORTE-01;542;1435.774193548387
SOLAR-NORTE-01;543;1411.1612903225807
SOLAR-NORTE-01;544;1430.3870967741937
